city_state,year,date,causes,description_short,description_long,deaths,injuries,num_arrested,image,url,damages,police_force,military_force,sum_of_force,lat ,long,city_id
"Maxton, North Carolina",1958,1/18/58,reaction to the US Supreme Court ruling for public school desegregation,an armed confrontation between the Knights of the Ku Klux Klan and counter demonstrators from the Lumbee Indian tribe,"In reaction to the US Supreme Court ruling in 1954 calling for public school desegregation, the revived Ku Klux Klan (KKK) undertook a campaign of terrorist actions throughout the American South designed to intimidate blacks from demanding even greater civil rights.",0,4,0,http://photos-a.ak.fbcdn.net/hphotos-ak-xpa1/v/t1.0-0/1380650_592572657469721_1949242653_n.png.jpg?oh=02fcc1e3757aa21d0f6898ab46f1781c&oe=56071755&__gda__=1443448900_fd554d86502277c8481ea172583d59f5,http://en.wikipedia.org/wiki/Battle_of_Hayes_Pond,n/a,n/a,n/a ,n/a ,-79.35012817,34.73484137,
"Oxford, Mississippi",1962,9/29/62,Brown v. Board of Education,Segregationalists were protesting the enrollment of a black man to University of Mississippi,"The Ole Miss riot of 1962 was fought between Southern segregationist civilians and federal and state forces beginning the night of September 29, 1962; segregationists were protesting the enrollment of James Meredith, a black US military veteran, at the University of Mississippi (known affectionately as Ole Miss) at Oxford, Mississippi.",2,300,,http://hottytoddy.com/wp-content/uploads/2014/12/confed-flag-1962.jpg,http://en.wikipedia.org/wiki/Ole_Miss_riot_of_1962,n/a,n/a,n/a ,"n/a
",-89.5186615,34.36611073,
"Birmingham, Alabama",1963,5/11/63,bombings targeted at the leaders of the Birmingham campaign,"The Birmingham riot of 1963 was a civil disorder in Birmingham, Alabama, that was provoked by bombings on the night of May 11, 1963. The bombings targeted leaders of the Birmingham campaign, a mass protest for racial justice. Their targets were a motel owned by A. G. Gaston and the parsonage of Rev. A. D. King, brother of Martin Luther King, Jr.","The Birmingham riot of 1963 was a civil disorder in Birmingham, Alabama, that was provoked by bombings on the night of May 11, 1963. The bombings targeted leaders of the Birmingham campaign, a mass protest for racial justice. Their targets were a motel owned by A. G. Gaston and the parsonage of Rev. A. D. King, brother of Martin Luther King, Jr. The bombings were probably planned and carried out by members of the Ku Klux Klan. The attacks triggered riots by nearby blacks, who met with repression from the Birmingham Police Department. The situation provoked a controversial military response from the United States federal government, and was a pivotal event in President Kennedy's decision to propose legislation which became the Civil Rights Act of 1964.",n/a,n/a,,http://farm8.staticflickr.com/7168/6481905667_32f3f0467e_b.jpg,http://en.wikipedia.org/wiki/Birmingham_riot_of_1963,n/a,n/a,n/a ,n/a,-86.80023193,33.52078905,
"New York, New York ",1964,7/16/64,Death of James Powell,"On Thursday, July 16, 1964, James Powell was shot and killed by police Lieutenant Thomas Gilligan. The second bullet of three fired by Lieutenant Gilligan killed the 15-year-old African American in front of his friends and about a dozen other witnesses.",,1,118,500,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Demonstrators-Harlem-1964.jpg/250px-Demonstrators-Harlem-1964.jpg,http://en.wikipedia.org/wiki/Harlem_riot_of_1964,,n/a,n/a,n/a,-73.94210815,40.82783908,
"Rochester, New York",1964,7/24/64,"Arrest of male, black 19-year old","The Rochester 1964 race riot was a riot that occurred in 1964 in Rochester, New York, in the United States. In the early evening of Friday, July 24, 1964, the Rochester Police Department attempted to arrest a 19-year-old intoxicated black male at a street block party and dance.","The police response to the call included a K-9 Corps dog. Rumors alleging police brutality action against blacks spread quickly, and an angry crowd formed on Joseph Avenue and became violent. The riot broke out in two of Rochester's predominantly black wards, near the location of the intersection of Nassau Street and Joseph Avenue, as well as downtown.",0,"n/a
",0,http://www.gannett-cdn.com/-mm-/50744b3819a0baa346a5daadff9aafbc74ee9f32/c=0-62-2380-1852&r=x513&c=680x510/local/-/media/Rochester/Rochester/2014/01/31//1391194983001-Rochester-Riots-3-.jpg,en.wikipedia.org/wiki/1964_Rochester_race_riot,n/a,n/a,n/a,n/a,-77.61154175,43.15610704,
